name,formula,category,subcategory,density,melting_point,boiling_point,thermal_conductivity,specific_heat,thermal_expansion,electrical_resistivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,poissons_ratio,source,mp_material_id,notes,glass_transition_temp,heat_deflection_temp,processing_temp_min_c,processing_temp_max_c,crystallinity,fracture_toughness,weibull_modulus,interlaminar_shear_strength,fiber_volume_fraction
La3CuSnS7,La3CuSnS7,Ceramic,Mixed,4.858,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98038,,,,,,,,,
MoWSe2S2,MoWSe2S2,Ceramic,Mixed,5.281,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-28636,,,,,,,,,
RbCrF5,RbCrF5,Ceramic,Mixed,3.7,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97916,,,,,,,,,
LaAs,LaAs,Metal,Non-Ferrous,5.997,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-18944,,,,,,,,,
Be2RuPb,Be2RuPb,Metal,Non-Ferrous,9.706,,,,,,,,,89.1034265526388,,,JARVIS dft_3d (scraped),,JVASP-64985,,,,,,,,,
Ba4NiBr,Ba4NiBr,Metal,Non-Ferrous,3.032,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64784,,,,,,,,,
BaSrCd,BaSrCd,Metal,Non-Ferrous,4.249,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64093,,,,,,,,,
TmFeO3,TmFeO3,Ceramic,Oxide,7.543,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98551,,,,,,,,,
RuPbO3,RuPbO3,Ceramic,Oxide,9.408,,,,,,,,,107.24267289529806,,,JARVIS dft_3d (scraped),,JVASP-39448,,,,,,,,,
Ti2GaNi,Ti2GaNi,Metal,Superalloy,6.386,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-37049,,,,,,,,,
Li2GaPt,Li2GaPt,Metal,Non-Ferrous,8.375,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-15260,,,,,,,,,
Ba4LiSn,Ba4LiSn,Metal,Non-Ferrous,4.254,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64429,,,,,,,,,
VP4,VP4,Ceramic,Mixed,3.598,,,,,,,,,204.7684779615932,,,JARVIS dft_3d (scraped),,JVASP-87040,,,,,,,,,
Mn,Mn,Metal,Non-Ferrous,8.517,,,,,,,,,332.1784706185301,,,JARVIS dft_3d (scraped),,JVASP-16080,,,,,,,,,
Si2Ru,Si2Ru,Ceramic,Mixed,5.888,,,,,,,,,240.70787060364805,,,JARVIS dft_3d (scraped),,JVASP-14914,,,,,,,,,
Ti3Ge,Ti3Ge,Metal,Non-Ferrous,5.647,,,,,,,,,100.93782546771274,,,JARVIS dft_3d (scraped),,JVASP-37042,,,,,,,,,
Ca3CdO4,Ca3CdO4,Ceramic,Oxide,4.476,,,,,,,,,179.79052830277166,,,JARVIS dft_3d (scraped),,JVASP-107773,,,,,,,,,
Mn2SnRu,Mn2SnRu,Metal,Non-Ferrous,9.319,,,,,,,,,49.56771895485182,,,JARVIS dft_3d (scraped),,JVASP-37191,,,,,,,,,
Ti3Sn,Ti3Sn,Metal,Non-Ferrous,6.117,,,,,,,,,74.1302972835813,,,JARVIS dft_3d (scraped),,JVASP-37039,,,,,,,,,
Na3Hg2,Na3Hg2,Metal,Non-Ferrous,5.647,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97337,,,,,,,,,
Ba4NbFe,Ba4NbFe,Metal,Ferrous,5.031,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64316,,,,,,,,,
Sc2MnGe,Sc2MnGe,Metal,Non-Ferrous,5.484,,,,,,,,,54.22720930963987,,,JARVIS dft_3d (scraped),,JVASP-37104,,,,,,,,,
Ba4LaTc,Ba4LaTc,Metal,Non-Ferrous,5.651,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64047,,,,,,,,,
MgMnRh2,MgMnRh2,Metal,Non-Ferrous,8.279,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38842,,,,,,,,,
Ba4LiPb,Ba4LiPb,Metal,Non-Ferrous,4.705,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64528,,,,,,,,,
Ba4HfCu,Ba4HfCu,Metal,Non-Ferrous,5.347,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64244,,,,,,,,,
Ba4TlTe,Ba4TlTe,Metal,Non-Ferrous,5.748,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64379,,,,,,,,,
CdH4S2O5,CdH4S2O5,Ceramic,Oxide,3.108,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98439,,,,,,,,,
Ti2InNi,Ti2InNi,Metal,Superalloy,6.874,,,,,,,,,55.747272777122795,,,JARVIS dft_3d (scraped),,JVASP-37057,,,,,,,,,
Ba4BiPd,Ba4BiPd,Metal,Non-Ferrous,6.084,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63958,,,,,,,,,
Ba4TiSe,Ba4TiSe,Metal,Non-Ferrous,4.538,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64670,,,,,,,,,
AgNO3,AgNO3,Ceramic,Oxide,4.598,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97854,,,,,,,,,
Al9Co2,Al9Co2,Metal,Non-Ferrous,3.569,,,,,,,,,174.55121132165985,,,JARVIS dft_3d (scraped),,JVASP-11958,,,,,,,,,
TlCoF3,TlCoF3,Ceramic,Mixed,7.5,,,,,,,,,83.53098591549296,,,JARVIS dft_3d (scraped),,JVASP-36885,,,,,,,,,
HoMn12,HoMn12,Metal,Non-Ferrous,8.859,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97988,,,,,,,,,
ErSbPd,ErSbPd,Metal,Non-Ferrous,9.339,,,,,,,,,113.81412234447863,,,JARVIS dft_3d (scraped),,JVASP-1750,,,,,,,,,
Ba4GaCu,Ba4GaCu,Metal,Non-Ferrous,4.639,,,,,,,,,-3.7152,,,JARVIS dft_3d (scraped),,JVASP-64724,,,,,,,,,
MnAgO2,MnAgO2,Ceramic,Oxide,6.401,,,,,,,,,87.38312632052926,,,JARVIS dft_3d (scraped),,JVASP-36782,,,,,,,,,
Ba4ScNb,Ba4ScNb,Metal,Non-Ferrous,4.882,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64865,,,,,,,,,
MnAuO2,MnAuO2,Ceramic,Oxide,9.271,,,,,,,,,100.94131248737995,,,JARVIS dft_3d (scraped),,JVASP-36857,,,,,,,,,
VFeRu2,VFeRu2,Metal,Ferrous,9.608,,,,,,,,,150.25676325125625,,,JARVIS dft_3d (scraped),,JVASP-37583,,,,,,,,,
Ni3Hg,Ni3Hg,Metal,Non-Ferrous,11.846,,,,,,,,,147.9803317535545,,,JARVIS dft_3d (scraped),,JVASP-39364,,,,,,,,,
Li3P7,Li3P7,Ceramic,Mixed,2.021,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98496,,,,,,,,,
TeMoWSe2S,TeMoWSe2S,Ceramic,Mixed,5.378,,,,,,,,,2.2514249525015835,,,JARVIS dft_3d (scraped),,JVASP-28962,,,,,,,,,
Be2TlIr,Be2TlIr,Metal,Non-Ferrous,12.508,,,,,,,,,-41.78480738822559,,,JARVIS dft_3d (scraped),,JVASP-64907,,,,,,,,,
Mg4BeRu,Mg4BeRu,Metal,Non-Ferrous,3.221,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-65023,,,,,,,,,
B2CN,B2CN,Ceramic,Non-Oxide,3.123,,,,,,,,,728.6979025389836,,,JARVIS dft_3d (scraped),,JVASP-91700,,,,,,,,,
Na2LiAlP2,Na2LiAlP2,Ceramic,Mixed,2.078,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98174,,,,,,,,,
Ti4CuAg,Ti4CuAg,Metal,Non-Ferrous,6.218,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-107737,,,,,,,,,
K3Sb,K3Sb,Metal,Non-Ferrous,2.352,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90429,,,,,,,,,
TiS2,TiS2,Ceramic,Mixed,3.224,,,,,,,,,83.68588116478706,,,JARVIS dft_3d (scraped),,JVASP-323,,,,,,,,,
CdP2O6,CdP2O6,Ceramic,Oxide,3.814,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97429,,,,,,,,,
PrMgAg,PrMgAg,Metal,Non-Ferrous,5.971,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89958,,,,,,,,,
SrCaO3,SrCaO3,Ceramic,Oxide,3.552,,,,,,,,,77.95876873615153,,,JARVIS dft_3d (scraped),,JVASP-37300,,,,,,,,,
KInO3,KInO3,Ceramic,Oxide,4.306,,,,,,,,,89.67670878436995,,,JARVIS dft_3d (scraped),,JVASP-38181,,,,,,,,,
ZnTe,ZnTe,Metal,Non-Ferrous,5.474,,,,,,,,,59.67544101952412,,,JARVIS dft_3d (scraped),,JVASP-1198,,,,,,,,,
RbSrO3,RbSrO3,Ceramic,Oxide,3.339,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38289,,,,,,,,,
Th3U,Th3U,Unknown,,12.751,,,,,,,,,101.07430182599357,,,JARVIS dft_3d (scraped),,JVASP-37387,,,,,,,,,
RbCaO3,RbCaO3,Ceramic,Oxide,3.024,,,,,,,,,47.67029945735915,,,JARVIS dft_3d (scraped),,JVASP-38327,,,,,,,,,
Mn3O4F2,Mn3O4F2,Ceramic,Oxide,4.655,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48092,,,,,,,,,
Mn2FeO3,Mn2FeO3,Ceramic,Oxide,5.729,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-47532,,,,,,,,,
Te8Mo3W,Te8Mo3W,Metal,Non-Ferrous,5.915,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-29105,,,,,,,,,
Ba4CdSn,Ba4CdSn,Metal,Non-Ferrous,5.08,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64586,,,,,,,,,
CrCuO2,CrCuO2,Ceramic,Oxide,6.197,,,,,,,,,227.31936185409222,,,JARVIS dft_3d (scraped),,JVASP-22557,,,,,,,,,
FeAu3,FeAu3,Metal,Ferrous,16.004,,,,,,,,,78.83528958394014,,,JARVIS dft_3d (scraped),,JVASP-39275,,,,,,,,,
Mg9Si5,Mg9Si5,Ceramic,Mixed,2.195,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97624,,,,,,,,,
Li,Li,Metal,Non-Ferrous,0.585,,,,,,,,,17.610447761194028,,,JARVIS dft_3d (scraped),,JVASP-14757,,,,,,,,,
NaCrO2,NaCrO2,Ceramic,Oxide,4.614,,,,,,,,,217.63579806494872,,,JARVIS dft_3d (scraped),,JVASP-22671,,,,,,,,,
CoF2,CoF2,Ceramic,Mixed,5.039,,,,,,,,,123.51080718348564,,,JARVIS dft_3d (scraped),,JVASP-22514,,,,,,,,,
LiGa2Rh,LiGa2Rh,Metal,Non-Ferrous,7.372,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-15478,,,,,,,,,
CoTe2,CoTe2,Metal,Non-Ferrous,7.521,,,,,,,,,70.1514545731089,,,JARVIS dft_3d (scraped),,JVASP-28353,,,,,,,,,
Tl2MoO4,Tl2MoO4,Ceramic,Oxide,6.905,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89035,,,,,,,,,
CeSi2Ir,CeSi2Ir,Ceramic,Mixed,8.64,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91521,,,,,,,,,
KBaO3,KBaO3,Ceramic,Oxide,3.036,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-39244,,,,,,,,,
RbBaO3,RbBaO3,Ceramic,Oxide,3.633,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38332,,,,,,,,,
H4PbC2O6,H4PbC2O6,Ceramic,Oxide,3.976,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98291,,,,,,,,,
BePd4Rh,BePd4Rh,Metal,Non-Ferrous,9.466,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-65065,,,,,,,,,
HgBr2,HgBr2,Metal,Non-Ferrous,6.136,,,,,,,,,15.79223977695167,,,JARVIS dft_3d (scraped),,JVASP-3648,,,,,,,,,
SmSi2Rh3,SmSi2Rh3,Ceramic,Mixed,8.66,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86727,,,,,,,,,
CeSiIr,CeSiIr,Ceramic,Mixed,9.435,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98702,,,,,,,,,
H3ClO5,H3ClO5,Unknown,,2.311,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97502,,,,,,,,,
Rb2O,Rb2O,Ceramic,Oxide,4.002,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43624,,,,,,,,,
Ba4CoW,Ba4CoW,Metal,Non-Ferrous,5.958,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64132,,,,,,,,,
BeTlSe4,BeTlSe4,Metal,Non-Ferrous,6.057,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-65103,,,,,,,,,
Ba4ZrSn,Ba4ZrSn,Metal,Non-Ferrous,5.091,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64006,,,,,,,,,
Ba4TaBe,Ba4TaBe,Metal,Non-Ferrous,5.245,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63916,,,,,,,,,
NdAlNi,NdAlNi,Metal,Superalloy,6.506,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89902,,,,,,,,,
K2O,K2O,Ceramic,Oxide,2.411,,,,,,,,,32.60238222412136,,,JARVIS dft_3d (scraped),,JVASP-43427,,,,,,,,,
CdI2,CdI2,Metal,Non-Ferrous,5.562,,,,,,,,,24.227471992924524,,,JARVIS dft_3d (scraped),,JVASP-5485,,,,,,,,,
PrTiO3,PrTiO3,Ceramic,Oxide,6.454,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-49894,,,,,,,,,
LiCoO2,LiCoO2,Ceramic,Oxide,5.009,,,,,,,,,237.14558914228962,,,JARVIS dft_3d (scraped),,JVASP-2017,,,,,,,,,
NiAgF3,NiAgF3,Ceramic,Mixed,5.897,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-36921,,,,,,,,,
K3CrO4,K3CrO4,Ceramic,Oxide,2.632,,,,,,,,,17.695222554463907,,,JARVIS dft_3d (scraped),,JVASP-3396,,,,,,,,,
LiGa2Pd,LiGa2Pd,Metal,Non-Ferrous,7.096,,,,,,,,,94.86709265175718,,,JARVIS dft_3d (scraped),,JVASP-15528,,,,,,,,,
Zn2AgAu,Zn2AgAu,Metal,Non-Ferrous,11.246,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-18822,,,,,,,,,
Li6TeO6,Li6TeO6,Ceramic,Oxide,3.386,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42402,,,,,,,,,
GeTe,GeTe,Unknown,,5.926,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90857,,,,,,,,,
BaAl4O7,BaAl4O7,Ceramic,Oxide,3.575,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98355,,,,,,,,,
V2CdP2O10,V2CdP2O10,Ceramic,Oxide,4.358,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98801,,,,,,,,,
Na3CuO2,Na3CuO2,Ceramic,Oxide,3.306,,,,,,,,,79.53468262067557,,,JARVIS dft_3d (scraped),,JVASP-49776,,,,,,,,,
SrV6O11,SrV6O11,Ceramic,Oxide,4.594,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98091,,,,,,,,,
Li3TiP2O8,Li3TiP2O8,Ceramic,Oxide,3.008,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50691,,,,,,,,,
Te2Mo3S4,Te2Mo3S4,Ceramic,Mixed,5.966,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-28566,,,,,,,,,
NdAl3Br12,NdAl3Br12,Metal,Non-Ferrous,3.512,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-14223,,,,,,,,,
Li3Fe5O10,Li3Fe5O10,Ceramic,Oxide,4.666,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-47765,,,,,,,,,
NaNdS2,NaNdS2,Ceramic,Mixed,3.986,,,,,,,,,85.38522906872062,,,JARVIS dft_3d (scraped),,JVASP-53075,,,,,,,,,
TiF3,TiF3,Ceramic,Mixed,2.848,,,,,,,,,154.18528592434166,,,JARVIS dft_3d (scraped),,JVASP-14874,,,,,,,,,
BaFe2S4,BaFe2S4,Ceramic,Mixed,4.357,,,,,,,,,72.03888190882371,,,JARVIS dft_3d (scraped),,JVASP-53439,,,,,,,,,
Ba4YSi,Ba4YSi,Ceramic,Mixed,4.339,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64788,,,,,,,,,
Ba4MgBe,Ba4MgBe,Metal,Non-Ferrous,3.641,,,,,,,,,1.243726937269373,,,JARVIS dft_3d (scraped),,JVASP-64189,,,,,,,,,
Ho2SeO2,Ho2SeO2,Ceramic,Oxide,8.571,,,,,,,,,172.3620476377862,,,JARVIS dft_3d (scraped),,JVASP-3258,,,,,,,,,
Li2CN2,Li2CN2,Ceramic,Nitride,1.538,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97577,,,,,,,,,
SrCa2I6,SrCa2I6,Metal,Non-Ferrous,4.006,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50007,,,,,,,,,
U3CuO10,U3CuO10,Ceramic,Oxide,7.45,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-85460,,,,,,,,,
Sm2P3Pt6,Sm2P3Pt6,Ceramic,Mixed,13.165,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97739,,,,,,,,,
Ca3Ru2O7,Ca3Ru2O7,Ceramic,Oxide,4.908,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98227,,,,,,,,,
SiP2O7,SiP2O7,Ceramic,Non-Oxide,3.086,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97338,,,,,,,,,
Fe2OF3,Fe2OF3,Ceramic,Oxide,4.331,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-47963,,,,,,,,,
MnAsPd,MnAsPd,Metal,Non-Ferrous,8.155,,,,,,,,,-0.5703341767464823,,,JARVIS dft_3d (scraped),,JVASP-90229,,,,,,,,,
Ba4LiRu,Ba4LiRu,Metal,Non-Ferrous,4.565,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64094,,,,,,,,,
NiP2W,NiP2W,Ceramic,Mixed,9.142,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90715,,,,,,,,,
SrH4N2,SrH4N2,Ceramic,Nitride,2.425,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-52889,,,,,,,,,
Ho5NiPb3,Ho5NiPb3,Metal,Superalloy,10.567,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86099,,,,,,,,,
AlCo4,AlCo4,Metal,Non-Ferrous,7.716,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-107776,,,,,,,,,
Zr6Ga2Fe,Zr6Ga2Fe,Metal,Ferrous,6.927,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90041,,,,,,,,,
Y2Pd2Pb,Y2Pd2Pb,Metal,Non-Ferrous,8.79,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97802,,,,,,,,,
BaCaI4,BaCaI4,Metal,Non-Ferrous,4.161,,,,,,,,,17.850782833728704,,,JARVIS dft_3d (scraped),,JVASP-12162,,,,,,,,,
LiDySe2,LiDySe2,Metal,Non-Ferrous,5.939,,,,,,,,,70.63855795630894,,,JARVIS dft_3d (scraped),,JVASP-1840,,,,,,,,,
NiS2,NiS2,Ceramic,Mixed,3.689,,,,,,,,,27.162933597621407,,,JARVIS dft_3d (scraped),,JVASP-15832,,,,,,,,,
CeMg6Zn,CeMg6Zn,Metal,Non-Ferrous,3.05,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-92195,,,,,,,,,
KAl2NiP3H4O14,KAl2NiP3H4O14,Ceramic,Oxide,2.868,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98445,,,,,,,,,
CrO3,CrO3,Ceramic,Oxide,3.538,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-16932,,,,,,,,,
LuGaO3,LuGaO3,Ceramic,Oxide,8.084,,,,,,,,,51.178882421420255,,,JARVIS dft_3d (scraped),,JVASP-50108,,,,,,,,,
Ba4NbZn,Ba4NbZn,Metal,Non-Ferrous,4.762,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64437,,,,,,,,,
MnSe,MnSe,Metal,Non-Ferrous,5.744,,,,,,,,,27.074157303370782,,,JARVIS dft_3d (scraped),,JVASP-19923,,,,,,,,,
HgI2,HgI2,Metal,Non-Ferrous,6.134,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-60703,,,,,,,,,
TbS2,TbS2,Ceramic,Mixed,6.19,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86969,,,,,,,,,
CaMnSi,CaMnSi,Ceramic,Mixed,3.51,,,,,,,,,42.71966146582993,,,JARVIS dft_3d (scraped),,JVASP-5065,,,,,,,,,
YGa2Pd,YGa2Pd,Metal,Non-Ferrous,7.486,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91654,,,,,,,,,
TiTl2F6,TiTl2F6,Ceramic,Mixed,6.492,,,,,,,,,36.76292805755396,,,JARVIS dft_3d (scraped),,JVASP-3099,,,,,,,,,
ErH9C5N2O8,ErH9C5N2O8,Ceramic,Oxide,2.698,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98616,,,,,,,,,
Ba4PdCl,Ba4PdCl,Ceramic,Mixed,4.794,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64247,,,,,,,,,
BeTlP4,BeTlP4,Ceramic,Mixed,3.911,,,,,,,,,6.367339667458433,,,JARVIS dft_3d (scraped),,JVASP-64987,,,,,,,,,
Ba4YGe,Ba4YGe,Metal,Non-Ferrous,4.569,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64380,,,,,,,,,
VOF,VOF,Ceramic,Oxide,4.302,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48464,,,,,,,,,
Mg2Ni3P,Mg2Ni3P,Ceramic,Mixed,5.447,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-16114,,,,,,,,,
Ba4TiCd,Ba4TiCd,Metal,Non-Ferrous,4.675,,,,,,,,,10.233336468375265,,,JARVIS dft_3d (scraped),,JVASP-64317,,,,,,,,,
HfTe2,HfTe2,Metal,Non-Ferrous,7.775,,,,,,,,,50.97605553477936,,,JARVIS dft_3d (scraped),,JVASP-18887,,,,,,,,,
V2Te2O9,V2Te2O9,Ceramic,Oxide,4.874,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97920,,,,,,,,,
CaNiP2O7,CaNiP2O7,Ceramic,Oxide,3.651,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98175,,,,,,,,,
Ba4InPb,Ba4InPb,Metal,Non-Ferrous,5.625,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64530,,,,,,,,,
Ba4LiTi,Ba4LiTi,Metal,Non-Ferrous,3.703,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64671,,,,,,,,,
FeMoO4,FeMoO4,Ceramic,Oxide,5.0,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98556,,,,,,,,,
Ba4TlCd,Ba4TlCd,Metal,Non-Ferrous,5.473,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64725,,,,,,,,,
Ba4TlGe,Ba4TlGe,Metal,Non-Ferrous,5.552,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64866,,,,,,,,,
Li2TiFe3O8,Li2TiFe3O8,Ceramic,Oxide,4.436,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42660,,,,,,,,,
ScPS4,ScPS4,Ceramic,Mixed,2.561,,,,,,,,,44.048060684699074,,,JARVIS dft_3d (scraped),,JVASP-4510,,,,,,,,,
VBO4,VBO4,Ceramic,Oxide,2.485,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-44065,,,,,,,,,
Li4TiS4,Li4TiS4,Ceramic,Mixed,1.868,,,,,,,,,39.91676267281107,,,JARVIS dft_3d (scraped),,JVASP-90534,,,,,,,,,
KNdO2,KNdO2,Ceramic,Oxide,5.02,,,,,,,,,121.28978347204475,,,JARVIS dft_3d (scraped),,JVASP-50936,,,,,,,,,
LiVF3,LiVF3,Ceramic,Mixed,3.476,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48750,,,,,,,,,
Mg3Sb,Mg3Sb,Metal,Non-Ferrous,3.508,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90582,,,,,,,,,
KTmO2,KTmO2,Ceramic,Oxide,6.436,,,,,,,,,155.20885590582378,,,JARVIS dft_3d (scraped),,JVASP-50811,,,,,,,,,
Na3SbTe3,Na3SbTe3,Metal,Non-Ferrous,4.349,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88834,,,,,,,,,
PrAl,PrAl,Metal,Non-Ferrous,5.372,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91609,,,,,,,,,
BaNdCo2O5,BaNdCo2O5,Ceramic,Oxide,6.911,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90337,,,,,,,,,
Rb2FeI4,Rb2FeI4,Metal,Ferrous,4.141,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86781,,,,,,,,,
LiV2F7,LiV2F7,Ceramic,Mixed,2.964,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43524,,,,,,,,,
Li4Ti3V5O16,Li4Ti3V5O16,Ceramic,Oxide,4.017,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43844,,,,,,,,,
MgBe2N2,MgBe2N2,Ceramic,Nitride,3.038,,,,,,,,,404.05940227804984,,,JARVIS dft_3d (scraped),,JVASP-3177,,,,,,,,,
K3Rh,K3Rh,Metal,Non-Ferrous,2.592,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38492,,,,,,,,,
SiPd,SiPd,Ceramic,Mixed,5.569,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91657,,,,,,,,,
HfGe2,HfGe2,Metal,Non-Ferrous,9.883,,,,,,,,,31.755997258396164,,,JARVIS dft_3d (scraped),,JVASP-98189,,,,,,,,,
DyAl3,DyAl3,Metal,Non-Ferrous,4.974,,,,,,,,,117.0644783921933,,,JARVIS dft_3d (scraped),,JVASP-18823,,,,,,,,,
EuSnP,EuSnP,Ceramic,Mixed,6.588,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-87913,,,,,,,,,
LuSnRh,LuSnRh,Metal,Non-Ferrous,10.844,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90237,,,,,,,,,
BaMg2V2O8,BaMg2V2O8,Ceramic,Oxide,4.156,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89041,,,,,,,,,
FeSbO4,FeSbO4,Ceramic,Oxide,6.021,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-46861,,,,,,,,,
